0x1f615	परेशान,क्या,भ्रूभंग,बद नज़र,भौह चढ़ाना,
0x1f42a	कूबड़ का ऊंट,कूबड़,
0x23eb	तीर,बाण,दोहरा,
0x1f36f	मधु,
0x1f692	ट्रक,
0x1f6aa	दरवाज़ा,
0x1f34d	उष्णकटिबंधी,अनन्नास,
0x1f4a2	क्रोधित,हास्य,पागल,
0x1f355	पनीर,टुकड़ा,फांकी,पिज़्ज़ा,भोजन,
0x1f3e2	इमारत,
0x1f3b3	गेंद,खेल,
0x1f354	बर्गर,मैकडॉनल्ड्स,हैमबर्गर,
0x1f457	पोशाक,ख़रीदारी,
0x1f556	सात,घड़ी,बजे,सात,
0x1f350	फल,
0x1f530	नौसिखिया,
0x263a	आरामदेह,आरामदायक,मतवाला,
0x1f6a3	नाव,डोंगी,आश्रय,
0x261d	ऊपर,आकाश,तर्जनी,एक,
0x270c	व,विजय,कैंची,टुकड़ा,दो,
0x1f454	टाई,क़मीज़,कार्यालय,नेकटाई,
0x1f433	व्हेल,स्तनपायी,
0x1f349	फल,तरबूज,
0x1f364	तला हुआ,झींगा,झींगा,समुद्री खाद्य,
0x1f366	मलाई,खाने के बाद मिठाई,बर्फ़,आइस्क्रीम,नरम,
0x1f369	डोनट,रोटी,डोनट,
0x1f37c	बोतल,पीना,दूध,
0x1f306	सांझ,शाम,भूदृश्य,सूर्यास्त,अंधेरा,प्रभात,सांझ,गोधूली,
0x1f309	पुल,दृश्य,
0x2708	विमान,विमान,यात्रा,जाना,समुद्रपार,
0x2600	किरण,उजला,धूप,
0x2601	मौसम,बादल,घटाटोप,बदल से घिरा हुआ,धब्बा,
0x26be	श्वेत रक्तकोशिका,बेसबॉल,
0x1f3c0	घेरा,छल्ला,डुबोना,बास्केटबॉल,
0x1f3c8	अमेरिका वासी,एन एफ़ एल,रग्बी,
0x1f3b2	पासा,खेल,संगमरमर,
0x2665	कार्ड,
0x1f3a7	सुनने के यन्त्रों का सेट,हेडफोन,
0x260e	टेलीफ़ोन,बुलाना,दूरभाष,
0x2702	कटाई,काटना,संपादन करना,खाई,
0x1f52e	क्रिस्टल,भाग्य,अटकल,भविष्यवाणी,भविष्य,चुड़ैल,बर्फ की गेंद,मानसिक,
0x27a1	प्रधान,दिशा,पूर्व,अगला,जाना,
0x264a	तारामंडल,दूसरा,
0x25b6	त्रिकोण,संचार माध्यम,खिलाड़ी,
0x267b	पुनः चक्रित करना,पुनः चक्रित करने योग्य,
0x2714	पहचानना,पूर्ण,समाप्त,
0x203c	विस्मयादिबोधक,विराम चिह्न,ज्ञानोदय,आहा,
0x2049	प्रश्न,
0x00ae	पंजिकृत,रजिस्टर,
0x2122	ट्रेडमार्क,
0x1f170	एक,
0x1f171	बी,
0x1f192	मंद पवन,
0x1f193	मुक्त,स्वतंत्रता,इत्मीनान भरा,
0x24c2	वृत्त,मीटर,भूमिगत रेल,मेपल,एक प्रकार का छायादार वृक्ष,मोबाइल,
0x1f17f	पार्किंग,बाग़,
0x1f199	ख़ुशी,कूदना,
0x25ab	ज्यामितीय,वर्गाकार,अनियंत्रित,न जांचा हुआ,
0x1f1fa,0x1f1f8	संयुक्त राज्य अमेरिका,अमेरिका,
0x1f923	फर्श,पर्वतमय,झुलाव,लोटनेवाला,
0x1f917	गले लगाना,
0x1f910	चेन,
0x1f643	अस्तव्यस्त,
0x1f912	तापमापी,
0x1f915	पट्टी,चोट,
0x1f922	उलटी करना,
0x1f927	छींक,
0x1f920	चरवाहा,काउबॉय,
0x1f921	मसखरी करना,
0x1f925	झूठ,पिनोच्चियो,
0x2620	ख़तरे या मृत्यु का निशान,कपाल,
0x1f916	रोबोट,
0x1f468,0x200d,0x2695,0xfe0f	नर्स,चिकित्सक,
0x1f468,0x200d,0x1f393	स्नातक,छात्र,
0x1f468,0x200d,0x1f3eb	प्रशिक्षक,प्रोफ़ेसर,प्राध्यापक,शिक्षक,
0x1f468,0x200d,0x2696,0xfe0f	न्याय,तुला,
0x1f469,0x200d,0x2696,0xfe0f	न्यायाधीश,
0x1f468,0x200d,0x1f33e	किसान,माली,क्षेत्र लगानेवाला,
0x1f468,0x200d,0x1f373	रसोइया,
0x1f468,0x200d,0x1f527	बिजली-मिस्त्री,मिस्त्री,प्लम्बर,
0x1f468,0x200d,0x1f3ed	सभा,कारखाना,औद्योगिक,कर्मचारी,
0x1f468,0x200d,0x1f4bc	वास्तुकार,व्यापार,प्रबंधक,सफ़ेदपोश,
0x1f468,0x200d,0x1f52c	जीव-विज्ञानी,रसानज्ञ,इंजीनियर,गणितज्ञ,भौतिकशास्त्री,वैज्ञानिक,
0x1f468,0x200d,0x1f4bb	डिवेलपर,विकासक,आविष्कारक,सॉफ़्टवेयर,शिल्पविज्ञानी,
0x1f468,0x200d,0x1f3a4	अभिनेता,मनोरंजन करने वाला,
0x1f468,0x200d,0x1f3a8	कलाकार,
0x1f468,0x200d,0x2708,0xfe0f	पायलट,विमान,
0x1f468,0x200d,0x1f680	अंतरिक्ष यात्री,
0x1f468,0x200d,0x1f692	अग्निशमक,
0x1f575	जासूस,खोजी कुत्ता,जासूस,
0x1f934	राजकुमार,
0x1f471,0x200d,0x2640,0xfe0f	हल्के सुनहरे भूरे रंग का,
0x1f935	दूल्हा,टक्सीडो,
0x1f930	गर्भवती,
0x1f936	श्रीमती,माता,
0x1f647,0x200d,0x2642,0xfe0f	एहसान,
0x1f926	क्रोध,
0x1f937	संदेह,अज्ञान,उदासीनता,कंधे उचकाना,
0x1f3c3,0x200d,0x2642,0xfe0f	दौड़,घुड़दौड़,
0x1f6cc	होटल,
0x1f574	सूट,
0x1f5e3	सिर,बोलनेवाला,
0x1f93a	गदा से लड़नेवाला,तलवा,घेरा,तलवार,
0x26f7	स्की,
0x1f3cc	गोल्फ,
0x1f3cb	भारोत्तोलक,भार,
0x1f6b5	साइकिल चलाने वाला,पर्वत,
0x1f938	गाड़ी का पहिया,जिमनास्टिक,
0x1f93c	कुश्ती,पहलवान,
0x1f93d	पोलो,
0x1f93e	हेन्डबोल,
0x1f939	संतुलन,धोखा देना,कौशल,
0x1f933	सेल्फ़ी,
0x1f91e	पार करना,भाग्य,
0x1f596	वालकैन,अग्नि देव,विश्वकर्मा,
0x1f91b	बाँईं ओर,
0x1f91c	दाहिनी ओर,
0x270d	लिखना,
0x1f91d	करार,एक दूसरे से हाथ मिलाना,बैठक,हिलाना,
0x1f441,0xfe0f,0x200d,0x1f5e8,0xfe0f	गवाह,
0x1f573	छेद,
0x1f456	पैंट,पतलून,
0x1f45b	सिक्का,
0x1f45c	बटुआ,
0x1f45d	थैली,
0x1f392	झोला,थैला,बस्ता,स्कूल,
0x26d1	मदद,हैल्मेट,
0x1f4ff	मोतियों की माला,हार,धर्म,
0x1f98d	गोरिल्ला,
0x1f981	सिंह,
0x1f984	गेंडा,
0x1f98c	हिरन,
0x1f98f	गैंडा,
0x1f42d	चूहा,
0x1f439	हैम्स्टर,
0x1f987	बल्ला,पिशाच,
0x1f983	तुर्की,
0x1f54a	शांति,
0x1f985	गरुड,
0x1f986	बतख,
0x1f989	उल्लू,बुद्धिमान,
0x1f98e	छिपकली,साँप,
0x1f432	ड्रैगन,पंखवाला नाग,
0x1f42c	मछली का पंख,
0x1f988	शार्क,
0x1f980	कैंसर,
0x1f990	कस्तूरा,सीपदार मछली,घोंघा,
0x1f991	व्यंग्य,मछली फंसाने का चारा,
0x1f98b	तितली,कीड़ा,सुंदर,
0x1f41d	मधुमक्खी,
0x1f578	मकड़ी,वेब,जाल,
0x1f982	वृश्चिकाकार राशिचक्रीय तारामण्डल,वृश्चिक,
0x1f940	कुम्हलाया हुआ,
0x1f95d	कीवी,
0x1f951	एवोकाडो,
0x1f955	गाजर,
0x1f336	मिर्च,
0x1f952	ककड़ी,अचार,
0x1f95c	अखरोट,मूँगफली,
0x1f950	क्रोइसैन,
0x1f953	बेकन,
0x1f32d	सासीज,डिब्बे में भरा हुआ मसालेदार माँस,हॉट-डॉग,सॉसेज,
0x1f32f	लपेटना,
0x1f959	जायरो,कबाब,ठुँसा हुआ,
0x1f95a	अंडा,
0x1f958	पुलाव,छिछला,
0x1f957	सलाद,
0x1f37f	पॉपकॉर्न,
0x1f358	पटाखा,
0x1f362	कटार,छड़ी,
0x1f367	मुँड़ा हुआ,
0x1f375	प्याला,चाय का कप,
0x1f37e	काग,पॉपिंग,
0x1f942	उत्सव मनाना,
0x1f943	मदिरा,गिलास,व्हिस्की,
0x1f37d	प्लेट,
0x1f944	चम्मच,भोजन-पात्र,
0x1f3fa	कुंभ राशि,जग,
0x1f5fa	नक्शा,
0x1f5fb	फ़ूजी,
0x1f3d5	कैम्पिंग,शिविर लगा कर रहना,
0x1f3dd	टापू,
0x1f3df	स्टेडियम,
0x1f3db	क्लासिक,शास्त्रीय,
0x1f3d8	घर,
0x1f3da	त्याग किया हुआ,परित्यक्त,
0x1f3e3	पद,
0x1f3e4	यूरोपीयन,
0x1f3ea	सुविधा,दुकान,
0x1f3ec	विभाग,
0x1f5fd	आज़ादी,प्रतिमा,
0x1f54c	मुसलमान,
0x1f54d	यहूदी,यहूदी,मंदिर,
0x26e9	शिन्तो धर्म,दरगाह,
0x26f2	झरना,फव्वारा,
0x1f301	कोहरा,
0x2668	फुव्वारा,
0x1f3a0	मद्यपान का उत्सव,
0x1f3a2	तटरक्षा का जहाज़,बेलन,
0x1f5bc	फ्रेम,
0x1f3b0	खाँचा,
0x1f683	ट्राम,बिजली से चलने वली बस,ट्रॉली बस,
0x1f687	भूमिगत मार्ग,
0x1f68d	बस,
0x1f68e	ट्राली,ठेला,
0x1f69a	वितरण,
0x1f69b	लॉरी,अर्द्ध,आधा,
0x1f6f4	लात,स्कूटर,
0x1f6f5	मोटर,
0x1f6e3	राजमार्ग,सड़क,
0x1f6a5	संकेत,ट्रैफिक,
0x1f6a7	अवरोध,
0x1f6d1	अण्टकोनीय,हस्ताक्षर करना,
0x1f6e5	मोटर नौका,
0x1f6eb	आगमन,प्रस्थान,
0x1f6ec	भूमि पर उतार,अवतरण,
0x1f69f	निलम्बन,
0x1f6a1	हवाई,ट्राम,
0x1f6ce	नौकर,
0x1f6cb	सोफ़ा,
0x1f313	तिमाही,
0x1f316	घटता हुआ,
0x1f32a	चक्रवात,
0x1f383	हैलोवीन,जैक,लालटेन,
0x1f390	झंकार,
0x1f391	समारोह,
0x1f397	अनुस्मारक,स्मरणपत्र,
0x1f39f	प्रवेश,टिकट,
0x1f396	पदक,सेना,
0x1f947	पहला,
0x1f948	चाँदी,
0x1f949	काँसा,तीसरा,
0x1f3be	टेनिस का बल्ला,रैकेट,
0x1f3b1	बिलियर्ड,
0x1f3d1	खेत,हॉकी,
0x1f3d3	पतवार,
0x1f3f8	पक्षी,शटलकॉक,एक प्रकार की चिड़िया,
0x1f94a	मुक्केबाज़ी,दस्ताना,
0x1f94b	जूडो,कराटे,ताइक्वांडो,वर्दी,एक समान,
0x1f945	लक्ष्य,जाल,
0x26f8	स्केट,
0x1f3bd	खेल-कूद,बेल्ट,
0x1f0cf	वाइल्डकार्ड,
0x1f004	महजोंग,
0x1f3b4	खेल रहे हैं,
0x1f507	मूक,
0x1f509	मध्यम,
0x1f4ef	सींग,डाकीय,
0x1f399	माइक्रोफोन,स्टुडियो,
0x1f39a	स्तर,फिसलने वाला,
0x1f39b	नियंत्रण,
0x1f941	ढोल,
0x1f4df	पेजर,
0x1f4e0	फ़ैक्स,
0x1f5a5	डेस्कटॉप,
0x1f4be	नरम,
0x1f39e	फ़िल्म,
0x1f4fd	प्रक्षेपक,
0x1f4f8	फ़्लैश,चमक,
0x1f4fc	टेप,
0x1f52c	विज्ञान,
0x1f526	मशाल,
0x1f4d4	ढकना,सुशोभित,नोटबुक,
0x1f5de	समाचारपत्र,
0x1f4d1	निशान,
0x1f3f7	लेबल,चिप्पी,परचा,
0x1f4b4	येन,
0x1f4b1	विनिमय,
0x2709	ईमेल,
0x1f4e8	ईमेल,लिफाफा,आगमिक,
0x1f4e4	ट्रे,
0x1f4e6	पार्सल,
0x1f4eb	मेलबॉक्स,डाकपेटी,
0x1f5f3	मत-पत्र,
0x270f	पेन्सिल,
0x2712	निब,क़लम,
0x1f58a	बॉल प्वाइंट,
0x1f58d	चित्रांकनी,
0x1f4c1	फ़ाइल,फ़ोल्डर,
0x1f5c2	परकाल,
0x1f5d2	गद्दी,
0x1f4cb	क्लिपबोर्ड,
0x1f587	जोड़ना,
0x1f4cf	शासक,
0x1f4d0	सेट,समूह,तैयार,
0x1f5c4	कैबिनेट,
0x1f5d1	कचरे की टोकरी,
0x1f50f	स्याही,एकांत,
0x1f5dd	संकेत,
0x26cf	खनन,
0x2692	हथौड़ा,चुनना,
0x1f6e0	नापनेवाला,पाना,रिंच,
0x1f3f9	धनु,धनुर्धर,धनुराशि,धनुर्विद्या,
0x1f529	पेंच,
0x1f5dc	दबाना,उपाध्यक्ष,दोष,बुराई,
0x2697	रसायन शास्त्र,
0x2696	तुला राशि,
0x26d3	जंजीर,
0x26b1	राख,अंतिम संस्कार,क्रियाकर्म,कलश,
0x1f6e2	तेल,
0x1f6d2	गाड़ी,
0x1f3e7	गणक,
0x1f6b0	पीना,पेय,
0x267f	पहुंच,
0x1f6c2	पासपोर्ट,
0x1f6c3	सीमाशुल्क,
0x1f6c4	सामान,दावा,
0x1f6c5	लॉकर,सामान,
0x26a0	चेतावनी,
0x2622	रेडियोधर्मी,
0x2b06	उत्तर,
0x2197	उत्तरपूर्व,
0x2198	दक्षिण पूर्व,
0x2b07	दक्षिण,
0x2199	दक्षिण-पश्चिम,
0x2196	उत्तरपश्चिम,
0x1f519	पीठ,
0x1f51b	पर,
0x1f6d0	पूजा,
0x269b	नास्तिक,परमाणु,
0x1f549	हिंदू,
0x2721	डेविड,
0x2638	बौद्ध,धर्म,
0x262f	कौन,यांग,यिन,
0x1f54e	मोमबत्ती,
0x2649	बैल,
0x264b	केकड़ा,
0x2651	बकरी,
0x23ef	विराम,
0x25c0	विपरीत,
0x23f8	लंबरूप,सीधा,खड़ा,
0x23fa	रिकार्ड,
0x23cf	निकाल देना,
0x1f4f3	प्रकार,स्पंदन,
0x2695	कर्मचारी,
0x269c	कुमुदिनी का फूल,
0x1f4db	बिल्ला,नाम,
0x303d	भाग,
0x2733	तारक चिन्ह,
0x3030	लहरदार,
0x00a9	कॉपीराइट,प्रतिलिप्याधिकार,
0x1f520	निवेश,लैटिन भाषा,पत्र,अपरकेस,
0x1f521	लोअरकेस,
0x1f524	ककहरा,वर्णमाला,
0x1f191	क्लोरीन,
0x2139	आई,
0x1f194	आईडी,पहचान,
0x1f198	तत्काल मदद के लिए पुकार,
0x1f1e6,0x1f1e9	अन्डोरा,
0x1f1e6,0x1f1ea	संयुक्त अरब अमीरात,
0x1f1e6,0x1f1eb	अफ़्ग़ानिस्तान,
0x1f1e6,0x1f1ee	एंगुइला,
0x1f1e6,0x1f1f1	अल्बानिया,
0x1f1e6,0x1f1f2	आर्मीनिया,
0x1f1e6,0x1f1f4	अंगोला,
0x1f1e6,0x1f1f6	अंटार्कटिका,
0x1f1e6,0x1f1f7	अर्जेन्टीना,
0x1f1e6,0x1f1f9	ऑस्ट्रिया,
0x1f1e6,0x1f1fc	अरूबा,
0x1f1e6,0x1f1ff	अज़रबैजान,
0x1f1e7,0x1f1e6	बोसनिया,
0x1f1e7,0x1f1e7	बारबाडोस,
0x1f1e7,0x1f1e9	बांग्लादेश,
0x1f1e7,0x1f1ea	बेल्जियम,
0x1f1e7,0x1f1ec	बुल्गारिया,
0x1f1e7,0x1f1ed	बहरीन,
0x1f1e7,0x1f1ee	बुरुंडी,
0x1f1e7,0x1f1ef	बेनिन,
0x1f1e7,0x1f1f2	बरमूडा,
0x1f1e7,0x1f1f3	ब्रुनेई,
0x1f1e7,0x1f1f4	बोलीविया,
0x1f1e7,0x1f1f7	ब्राज़ील,
0x1f1e7,0x1f1f8	बहामास,
0x1f1e7,0x1f1f9	भूटान,
0x1f1e7,0x1f1fc	बोत्सवाना,
0x1f1e7,0x1f1fe	बेलारूस,बाइलोरशिया,बेलोरूस,
0x1f1e7,0x1f1ff	बेलीज़,
0x1f1e8,0x1f1e6	कनाडा,
0x1f1e8,0x1f1e9	कांगो,
0x1f1e8,0x1f1ec	कांगो,
0x1f1e8,0x1f1ed	स्विट्ज़रलैंड,स्विट्ज़रलैंड का,
0x1f1e8,0x1f1f1	चिली,
0x1f1e8,0x1f1f2	कैमरून,
0x1f1e8,0x1f1f4	कोलम्बिया,
0x1f1e8,0x1f1fa	क्यूबा,
0x1f1e8,0x1f1fc	कुराकाओ,
0x1f1e8,0x1f1fe	साइप्रस,
0x1f1e8,0x1f1ff	कज़चीआ,
0x1f1e9,0x1f1ef	जिबूती,
0x1f1e9,0x1f1f0	डेनमार्क,
0x1f1e9,0x1f1f2	डोमिनिका,
0x1f1e9,0x1f1ff	अल्जीरिया,
0x1f1ea,0x1f1e6	सेउटा,
0x1f1ea,0x1f1e8	इक्वाडोर,
0x1f1ea,0x1f1ea	एस्टोनिया,
0x1f1ea,0x1f1ec	मिस्र,
0x1f1ea,0x1f1f7	इरीट्रिया,
0x1f1ea,0x1f1f9	इथियोपिया,
0x1f1ea,0x1f1fa	यूरोपीय संघ,
0x1f1eb,0x1f1ee	फ़िनलैंड,
0x1f1eb,0x1f1ef	फ़िजी,
0x1f1eb,0x1f1f2	माइक्रोनेशिया एफ.एस,
0x1f1eb,0x1f1f7	फ्रांस,
0x1f1ec,0x1f1e6	गैबॉन,
0x1f1ec,0x1f1e9	ग्रेनेडा,
0x1f1ec,0x1f1ea	जॉर्जिया,
0x1f1ec,0x1f1ec	गर्नज़ी,
0x1f1ec,0x1f1ed	घाना,
0x1f1ec,0x1f1ee	जिब्राल्टर,
0x1f1ec,0x1f1f1	ग्रीनलैण्ड,
0x1f1ec,0x1f1f2	गाम्बिया,
0x1f1ec,0x1f1f3	गिनी,
0x1f1ec,0x1f1f5	गुआदेलूप,
0x1f1ec,0x1f1f7	ग्रीस,
0x1f1ec,0x1f1f9	ग्वाटेमाला,
0x1f1ec,0x1f1fa	गुआम,
0x1f1ec,0x1f1fc	गिनी-बिसाऊ,
0x1f1ec,0x1f1fe	गुयाना,
0x1f1ed,0x1f1f3	हॉण्डुरास,
0x1f1ed,0x1f1f7	क्रोएशिया,
0x1f1ed,0x1f1f9	हैती,
0x1f1ed,0x1f1fa	हंगरी,
0x1f1ee,0x1f1e8	कैनेरीस,
0x1f1ee,0x1f1e9	इंडोनेशिया,
0x1f1ee,0x1f1ea	आयरलैंड,
0x1f1ee,0x1f1f1	इजराइल,
0x1f1ee,0x1f1f2	मान,
0x1f1ee,0x1f1f3	भारत,
0x1f1ee,0x1f1f6	इराक़,
0x1f1ee,0x1f1f7	ईरान,फारस,
0x1f1ee,0x1f1f8	आइसलैंड,
0x1f1ef,0x1f1ea	जर्सीइंग्लिश चैनल के द्वीपों में से एक,
0x1f1ef,0x1f1f2	जमैका,
0x1f1ef,0x1f1f4	जार्डन,
0x1f1ef,0x1f1f5	जापान,
0x1f1f0,0x1f1ea	कीनिया,
0x1f1f0,0x1f1ec	किर्गिज़स्तान,
0x1f1f0,0x1f1ed	कम्बोडिया,कम्पुचीआ लोकतन्त्र,
0x1f1f0,0x1f1ee	किरिबाती,
0x1f1f0,0x1f1f2	कोमोरोस,
0x1f1f0,0x1f1fc	कुवैत,
0x1f1f0,0x1f1ff	कज़ाख़स्तान,
0x1f1f1,0x1f1e6	लाओस,
0x1f1f1,0x1f1e7	लेबनान,
0x1f1f1,0x1f1ee	लिकटेंस्टीन,
0x1f1f1,0x1f1f7	लाइबेरिया,
0x1f1f1,0x1f1f8	लेसोथो,
0x1f1f1,0x1f1f9	लिथुआनिया,
0x1f1f1,0x1f1fa	लक्सेम्बर्ग,
0x1f1f1,0x1f1fb	लातविया,
0x1f1f1,0x1f1fe	लीबिया,
0x1f1f2,0x1f1e6	मोरक्को,
0x1f1f2,0x1f1e8	मोनाको,
0x1f1f2,0x1f1e9	मोल्दाविया,
0x1f1f2,0x1f1ea	मोंटेनीगरो,
0x1f1f2,0x1f1ec	मेडागास्कर,
0x1f1f2,0x1f1f0	मैसिडोनिया,
0x1f1f2,0x1f1f1	माली,
0x1f1f2,0x1f1f2	म्यानमार,म्यान्मार,
0x1f1f2,0x1f1f3	मंगोलिया,
0x1f1f2,0x1f1f4	मकाओ,मकाओ,
0x1f1f2,0x1f1f6	मार्टीनिक,
0x1f1f2,0x1f1f7	मॉरिटानिया,
0x1f1f2,0x1f1f8	मोंट्सेराट,
0x1f1f2,0x1f1f9	माल्टा,
0x1f1f2,0x1f1fa	मॉरिशस,
0x1f1f2,0x1f1fc	मलावी,
0x1f1f2,0x1f1fd	मेक्सिको,
0x1f1f2,0x1f1fe	मलेशिया,
0x1f1f2,0x1f1ff	मोज़ाम्बिक,
0x1f1f3,0x1f1e6	नामीबिया,
0x1f1f3,0x1f1ea	नाइजर,
0x1f1f3,0x1f1ec	नाइजीरिया,
0x1f1f3,0x1f1ee	निकारागुआ,
0x1f1f3,0x1f1f1	नीदरलैण्ड,हॉलैंड,
0x1f1f3,0x1f1f4	नॉर्वे,
0x1f1f3,0x1f1f5	नेपाल,
0x1f1f3,0x1f1f7	नाउरु,
0x1f1f3,0x1f1fa	निऊ,
0x1f1f4,0x1f1f2	ओमान,
0x1f1f5,0x1f1e6	पनामा,
0x1f1f5,0x1f1ea	पेरू,
0x1f1f5,0x1f1ed	फ़िलीपीन्स,
0x1f1f5,0x1f1f0	पाकिस्तान,
0x1f1f5,0x1f1f1	पोलैंड,
0x1f1f5,0x1f1f3	पिटकेर्न,
0x1f1f5,0x1f1f8	फ़िलिस्तीनी,
0x1f1f5,0x1f1f9	पुर्तगाल,
0x1f1f5,0x1f1fc	पलाऊ,पलाऊ,
0x1f1f5,0x1f1fe	पैराग्वे,
0x1f1f6,0x1f1e6	क़तर,
0x1f1f7,0x1f1ea	बैठक,
0x1f1f7,0x1f1f4	रोमानिया,
0x1f1f7,0x1f1f8	सर्बिया,
0x1f1f7,0x1f1fc	रवांडा,
0x1f1f8,0x1f1e6	अरब,
0x1f1f8,0x1f1e8	सेशेल्स,
0x1f1f8,0x1f1e9	सूडान,
0x1f1f8,0x1f1ea	स्वीडन,
0x1f1f8,0x1f1ec	सिंगापुर,
0x1f1f8,0x1f1ee	स्लोवेनिया,
0x1f1f8,0x1f1f0	स्लोवाकिया,
0x1f1f8,0x1f1f3	सेनेगल,
0x1f1f8,0x1f1f4	सोमालिया,
0x1f1f8,0x1f1f7	सूरीनाम,सूरिनाम,
0x1f1f8,0x1f1fe	सीरिया,
0x1f1f8,0x1f1ff	स्वाजीलैंड,
0x1f1f9,0x1f1e9	काग़ज़ का टुकड़ा,
0x1f1f9,0x1f1ec	टोगो,
0x1f1f9,0x1f1ed	थाईलैंड,सियाम,
0x1f1f9,0x1f1ef	ताजिकिस्तान,
0x1f1f9,0x1f1f0	टोकेलाऊ,
0x1f1f9,0x1f1f1	पूर्वी तिमोर,
0x1f1f9,0x1f1f2	तुर्कमेनिस्तान,
0x1f1f9,0x1f1f3	ट्यूनीशिया,
0x1f1f9,0x1f1f4	टोंगा,
0x1f1f9,0x1f1fb	तुवालु,
0x1f1f9,0x1f1fc	ताइवान,
0x1f1f9,0x1f1ff	तंज़ानिया,
0x1f1fa,0x1f1e6	यूक्रेन,
0x1f1fa,0x1f1ec	युगांडा,
0x1f1fa,0x1f1f3	यू एन,
0x1f1fa,0x1f1fe	उरुग्वे,
0x1f1fa,0x1f1ff	उज़्बेकिस्तान,
0x1f1fb,0x1f1ea	वेनेज़ुएला,
0x1f1fb,0x1f1f3	वियतनाम,
0x1f1fb,0x1f1fa	वानुअतु,वानातू,
0x1f1fc,0x1f1f8	समोआ,
0x1f1fd,0x1f1f0	कोसोवो,
0x1f1fe,0x1f1ea	यमन,
0x1f1fe,0x1f1f9	मायोत,
0x1f1ff,0x1f1e6	आर एस ए,
0x1f1ff,0x1f1f2	ज़ाम्बिया,
0x1f1ff,0x1f1fc	ज़िम्बाब्वे,
